time,location,timestamp
1364365088,in[sport-venues],2013-03-27 06:18:08
1364365103,in[sport-venues],2013-03-27 06:18:23
1364365119,in[sport-venues],2013-03-27 06:18:39
1364365134,in[sport-venues],2013-03-27 06:18:54
1364365149,in[sport-venues],2013-03-27 06:19:09
1364365165,in[sport-venues],2013-03-27 06:19:25
1364365180,in[sport-venues],2013-03-27 06:19:40
1364365201,in[sport-venues],2013-03-27 06:20:01
1364365217,in[sport-venues],2013-03-27 06:20:17
1364365232,in[sport-venues],2013-03-27 06:20:32
1364365248,in[sport-venues],2013-03-27 06:20:48
1364365263,in[sport-venues],2013-03-27 06:21:03
1364365279,in[sport-venues],2013-03-27 06:21:19
1364365294,in[sport-venues],2013-03-27 06:21:34
1364365310,in[sport-venues],2013-03-27 06:21:50
1364365326,in[sport-venues],2013-03-27 06:22:06
1364365341,in[sport-venues],2013-03-27 06:22:21
1364365357,in[sport-venues],2013-03-27 06:22:37
1364365372,in[sport-venues],2013-03-27 06:22:52
1364365388,in[sport-venues],2013-03-27 06:23:08
1364365403,in[sport-venues],2013-03-27 06:23:23
1364365419,in[sport-venues],2013-03-27 06:23:39
1364365434,in[sport-venues],2013-03-27 06:23:54
1364365450,in[sport-venues],2013-03-27 06:24:10
1364365465,in[sport-venues],2013-03-27 06:24:25
1364365481,in[sport-venues],2013-03-27 06:24:41
1364365501,in[sport-venues],2013-03-27 06:25:01
1364365517,in[sport-venues],2013-03-27 06:25:17
1364365532,in[sport-venues],2013-03-27 06:25:32
1364365548,in[sport-venues],2013-03-27 06:25:48
1364365564,in[sport-venues],2013-03-27 06:26:04
1364365579,in[sport-venues],2013-03-27 06:26:19
1364365595,in[sport-venues],2013-03-27 06:26:35
1364365610,in[sport-venues],2013-03-27 06:26:50
1364365626,in[sport-venues],2013-03-27 06:27:06
1364365641,in[sport-venues],2013-03-27 06:27:21
1364365656,in[sport-venues],2013-03-27 06:27:36
1364365672,in[sport-venues],2013-03-27 06:27:52
1364365688,in[sport-venues],2013-03-27 06:28:08
1364365703,in[sport-venues],2013-03-27 06:28:23
1364365720,in[sport-venues],2013-03-27 06:28:40
1364365735,in[sport-venues],2013-03-27 06:28:55
1364365751,in[sport-venues],2013-03-27 06:29:11
1364365766,in[sport-venues],2013-03-27 06:29:26
1364365782,in[sport-venues],2013-03-27 06:29:42
1364365801,in[sport-venues],2013-03-27 06:30:01
1364365817,in[sport-venues],2013-03-27 06:30:17
1364365832,in[sport-venues],2013-03-27 06:30:32
1364365848,in[sport-venues],2013-03-27 06:30:48
1364365863,in[sport-venues],2013-03-27 06:31:03
1364365879,in[sport-venues],2013-03-27 06:31:19
1364365894,in[sport-venues],2013-03-27 06:31:34
1364365910,in[sport-venues],2013-03-27 06:31:50
1364365925,in[sport-venues],2013-03-27 06:32:05
1364365941,in[sport-venues],2013-03-27 06:32:21
1364365956,in[sport-venues],2013-03-27 06:32:36
1364365987,in[sport-venues],2013-03-27 06:33:07
1364366003,in[sport-venues],2013-03-27 06:33:23
1364366018,in[sport-venues],2013-03-27 06:33:38
1364366034,in[sport-venues],2013-03-27 06:33:54
1364366049,in[sport-venues],2013-03-27 06:34:09
1364366065,in[sport-venues],2013-03-27 06:34:25
1364366080,in[sport-venues],2013-03-27 06:34:40
1364366101,in[sport-venues],2013-03-27 06:35:01
1364366117,in[sport-venues],2013-03-27 06:35:17
1364366132,in[sport-venues],2013-03-27 06:35:32
1364366148,in[sport-venues],2013-03-27 06:35:48
1364366163,in[sport-venues],2013-03-27 06:36:03
1364366179,in[sport-venues],2013-03-27 06:36:19
1364366194,in[sport-venues],2013-03-27 06:36:34
1364366210,in[sport-venues],2013-03-27 06:36:50
1364366225,in[sport-venues],2013-03-27 06:37:05
1364366241,in[sport-venues],2013-03-27 06:37:21
1364366256,in[sport-venues],2013-03-27 06:37:36
1364366272,in[sport-venues],2013-03-27 06:37:52
1364366287,in[sport-venues],2013-03-27 06:38:07
1364366303,in[sport-venues],2013-03-27 06:38:23
1364366319,in[sport-venues],2013-03-27 06:38:39
1364366334,in[sport-venues],2013-03-27 06:38:54
1364366350,in[sport-venues],2013-03-27 06:39:10
1364366365,in[sport-venues],2013-03-27 06:39:25
1364366380,in[sport-venues],2013-03-27 06:39:40
